Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2019/09/10,74.8,74.8,73.8,74.1,-0.6,-0.8,1.34,"24,330","11,187",2.2,18,"+3,104",-36,+223,"+3,291",40.5,+544,"62,982",-100,709,1.1
2019/09/11,74.5,75.3,74.2,74.5,+0.4,+0.54,1.48,"35,739","14,229",2.5,26.7,"+1,728",+35,"+1,191","+2,954",40.5,"+1,360","64,342",+111,820,1.3
2019/09/12,75,76,74.6,76,+1.5,+2.01,1.88,"61,561","26,748",2.3,46.5,"+4,439",+172,"+5,234","+9,845",40.6,"+2,105","66,447",+106,926,1.4
2019/09/16,76.3,76.4,75,76,0,0,1.84,"42,606","15,028",2.8,32.3,"+2,584",-7,"-1,882",+695,40.6,+633,"67,081",+80,"1,006",1.5
2019/09/17,74.9,75.5,74.5,74.6,-1.4,-1.84,1.32,"43,927","19,504",2.3,32.8,"-4,905",+27,"-1,600","-6,478",40.5,"-1,219","65,861",+49,"1,055",1.6
2019/09/18,74.7,74.9,74.1,74.4,-0.2,-0.27,1.07,"33,122","13,550",2.4,24.7,"-2,293",+73,"-3,023","-5,243",40.6,"+1,185","67,044",+27,"1,082",1.6
2019/09/19,74.6,74.8,73.5,73.5,-0.9,-1.21,1.75,"31,821","13,983",2.3,23.5,"-11,557",+293,"-1,114","-12,378",40.5,+340,"67,382",+48,"1,130",1.7
2019/09/20,73.8,74.5,73.8,74.5,+1,+1.36,0.95,"33,928","8,653",3.9,25.2,"+3,844",+572,-125,"+4,291",40.5,+275,"67,657",+156,"1,286",1.9
2019/09/23,74.5,74.7,74.2,74.7,+0.2,+0.27,0.67,"10,657","5,397",2,7.9,"+2,815",+6,-155,"+2,666",40.6,-435,"67,221",-49,"1,237",1.8
2019/09/24,74.7,75.3,74.5,74.9,+0.2,+0.27,1.07,"19,778","7,930",2.5,14.8,"+5,374",-92,-54,"+5,229",40.7,+477,"67,697",+9,"1,246",1.8
