Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2019/09/10,263.5,264,260.5,261.5,-3.5,-1.32,1.32,"30,020","11,831",2.5,78.6,"-1,303",-331,"+1,280",-354,77.4,+410,"9,715",-299,"1,116",11.5
2019/09/11,264,264.5,260.5,263,+1.5,+0.57,1.53,"36,266","12,058",3,95.1,+714,+399,-813,+300,77.5,+677,"10,392",-214,902,8.7
2019/09/12,265,265,261.5,262.5,-0.5,-0.19,1.33,"38,792","8,282",4.7,102,"+4,232",+162,+510,"+4,904",77.5,+74,"10,466",-811,91,0.9
2019/09/16,262,265.5,261.5,265.5,+3,+1.14,1.52,"38,914","11,120",3.5,102.6,"+13,513",+16,+125,"+13,653",77.5,-415,"10,051",-91,0,0
2019/09/17,266.5,266.5,264.5,265,-0.5,-0.19,0.75,"30,070","9,222",3.3,79.8,"+9,470",+87,-107,"+9,450",77.6,-78,"9,973",0,0,0
2019/09/18,267,269.5,266.5,267,+2,+0.75,1.13,"51,361","17,993",2.9,137.5,"+26,751",-252,-738,"+25,761",77.6,-566,"9,407",0,0,0
2019/09/19,268,268,264,265,0,0,1.51,"27,166","10,194",2.7,72.2,"+2,463",+122,-287,"+2,298",77.7,+278,"9,685",+214,214,2.2
2019/09/20,266,266.5,264,264,-1,-0.38,0.94,"44,556","9,109",4.9,117.9,-571,+850,+341,+620,77.7,+7,"9,692",+144,358,3.7
2019/09/23,264,264,263,264,0,0,0.38,"14,220","5,647",2.5,37.5,+985,-136,-133,+716,77.8,-29,"9,663",+29,387,4
2019/09/24,263.5,265.5,262,265,+1,+0.38,1.33,"24,305","9,180",2.6,64.2,"-1,406",-7,-724,"-2,137",77.8,+133,"9,796",+92,479,4.9
2019/09/25,262.5,266,262,266,+1,+0.38,1.51,"23,244","7,145",3.3,61.4,"+3,075","+1,240","-1,550","+2,765",77.9,-51,"9,745",+116,595,6.1
2019/09/26,269,269.5,266.5,268,+2,+0.75,1.13,"34,128","11,861",2.9,91.4,"+5,415",+719,"-1,261","+4,873",77.9,-216,"9,529",+170,765,8
2019/09/27,271.5,272.5,271,272,+4,+1.49,0.56,"44,243","16,626",2.7,120.2,"+19,173","+1,032",-190,"+20,015",78,-25,"9,504",+374,"1,139",12
2019/10/01,273,280.5,273,280,+8,+2.94,2.76,"75,249","26,648",2.8,208.9,"+26,718",+518,-487,"+26,749",78.1,+277,"9,781",+550,"1,689",17.3
2019/10/02,280,281,279,279.5,-0.5,-0.18,0.71,"30,573","12,294",2.5,85.5,"+5,829",+401,-366,"+5,864",78.1,+473,"10,254",+120,"1,809",17.6
2019/10/03,274,277.5,274,276.5,-3,-1.07,1.25,"35,875","12,853",2.8,98.9,"-6,844",+301,+819,"-5,724",78.1,+724,"10,978",-313,"1,496",13.6
