Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2019/09/10,111,112,106.5,112,-1,-0.88,4.87,"12,370","6,425",1.9,13.5,"+3,719","-2,209",-33,"+1,477",82.6,+60,"3,532",-21,511,14.5
2019/09/11,114,114,109,110.5,-1.5,-1.34,4.46,"5,038","3,202",1.6,5.6,-677,-602,-48,"-1,327",82.5,+282,"3,814",-52,459,12
2019/09/12,112.5,114,110,111.5,+1,+0.9,3.62,"7,841","3,959",2,8.8,"-1,612",+42,-49,"-1,619",82.4,+139,"3,953",+519,978,24.7
2019/09/16,112,112,109,112,+0.5,+0.45,2.69,"3,243","1,923",1.7,3.6,-462,+274,-57,-245,82.4,-35,"3,918",-3,975,24.9
2019/09/17,111,114,110,112.5,+0.5,+0.45,3.57,"9,799","3,704",2.6,11,"-2,542",+360,-97,"-2,279",82,+462,"4,380",+8,983,22.4
2019/09/18,112.5,117,112.5,115,+2.5,+2.22,4,"8,559","4,901",1.7,9.9,"+1,747",+905,-212,"+2,440",82.2,-481,"3,899",-38,945,24.2
2019/09/19,115.5,117.5,115.5,115.5,+0.5,+0.43,1.74,"5,048","3,199",1.6,5.9,-908,+230,-28,-706,82.1,-77,"3,822",-3,942,24.6
2019/09/20,116,116.5,115,115,-0.5,-0.43,1.3,"6,915","1,973",3.5,8,"-1,594",+14,-56,"-1,636",82,-269,"3,553",+22,964,27.1
2019/09/23,116,118.5,114.5,117.5,+2.5,+2.17,3.48,"3,699","2,196",1.7,4.3,-610,-78,+207,-481,81.9,+147,"3,700",-531,433,11.7
2019/09/24,118,120,115.5,116,-1.5,-1.28,3.83,"3,858","2,416",1.6,4.5,+157,+1,-221,-63,81.9,-43,"3,657",-1,432,11.8
2019/09/25,116,117.5,114.5,115.5,-0.5,-0.43,2.59,"3,472","1,651",2.1,4,+798,-120,-511,+167,82,-10,"3,647",+54,486,13.3
2019/09/26,117,117.5,115,115,-0.5,-0.43,2.16,"1,864","1,216",1.5,2.2,+209,-4,-15,+190,82,-82,"3,565",+5,491,13.8
2019/09/27,115.5,116,111,111,-4,-3.48,4.35,"3,224","1,988",1.6,3.6,-286,-529,-95,-910,82,+8,"3,573",-74,417,11.7
2019/10/01,113.5,117.5,113,117.5,+6.5,+5.86,4.05,"6,975","4,394",1.6,8.1,"+3,004",-147,+68,"+2,925",82.3,-23,"3,550",+64,481,13.5
2019/10/02,116.5,121.5,115.5,117,-0.5,-0.43,5.11,"9,356","5,711",1.6,11.1,"-2,076","+1,693",-5,-388,82.1,+140,"3,690",-35,446,12.1
2019/10/03,115,116.5,114,114,-3,-2.56,2.14,"5,396","2,809",1.9,6.2,"-1,155",-401,+130,"-1,425",82,+193,"3,883",-22,424,10.9
2019/10/04,114.5,116,114.5,116,+2,+1.75,1.32,"2,052","1,348",1.5,2.4,+466,+132,+55,+653,82,+67,"3,950",-8,416,10.5
2019/10/07,117,119.5,117,119.5,+3.5,+3.02,2.16,"7,195","4,139",1.7,8.5,+187,+359,+140,+686,82,+151,"4,101",+16,432,10.5
2019/10/08,119.5,122,118,121,+1.5,+1.26,3.35,"9,861","4,977",2,11.9,"+1,779",+70,-54,"+1,795",82.2,"-1,056","3,045",+88,520,17.1
2019/10/09,121,121,118.5,119,-2,-1.65,2.07,"3,735","2,055",1.8,4.5,+849,+122,-319,+652,82.3,-92,"2,953",-83,437,14.8
2019/10/14,123,127.5,123,124,+5,+4.2,3.78,"11,150","6,437",1.7,13.9,"+2,020",+373,+87,"+2,480",82.5,-138,"2,815",+15,452,16.1
2019/10/15,123,127,121.5,124,0,0,4.44,"7,831","4,579",1.7,9.8,+239,-153,-45,+41,82.6,+31,"2,846",+4,456,16
2019/10/16,126,130.5,124.5,127,+3,+2.42,4.84,"13,063","6,986",1.9,16.7,+332,+475,-266,+541,82.6,+833,"3,679",+60,516,14
2019/10/17,128.5,131,126.5,131,+4,+3.15,3.54,"7,318","4,442",1.6,9.4,"+1,925",+29,-163,"+1,791",82.8,-225,"3,454",+64,580,16.8
2019/10/18,132,135,130,134.5,+3.5,+2.67,3.82,"8,984","5,635",1.6,11.9,+384,+327,+77,+788,82.8,-211,"3,243",+37,617,19
2019/10/21,135.5,137,132,135.5,+1,+0.74,3.72,"6,413","3,582",1.8,8.6,"+1,173",+136,-402,+907,83,-111,"3,132",+5,622,19.9
2019/10/22,136.5,141.5,135,139.5,+4,+2.95,4.8,"8,462","4,430",1.9,11.8,"+1,759",+60,-217,"+1,602",83.2,-150,"2,982",+5,627,21
2019/10/23,138.5,140,135,138,-1.5,-1.08,3.58,"8,159","4,281",1.9,11.2,+965,-134,-419,+412,83.3,-518,"2,464",-9,618,25.1
2019/10/24,139.5,144.5,139,144.5,+6.5,+4.71,3.99,"7,033","3,917",1.8,10,"+1,350",+32,-363,"+1,019",83.4,+38,"2,502",+26,644,25.7
2019/10/25,145,148,143,145,+0.5,+0.35,3.46,"7,024","4,592",1.5,10.2,+218,-75,-283,-140,83.4,+448,"2,950",+29,673,22.8
2019/10/28,146.5,151,145.5,147.5,+2.5,+1.72,3.79,"8,098","4,341",1.9,12,-264,-247,-76,-587,83.4,"+1,006","3,956",-6,667,16.9
2019/10/29,148.5,149.5,141,144,-3.5,-2.37,5.76,"9,007","4,957",1.8,13,"+1,059",-640,-226,+193,83.5,-322,"3,634",-28,639,17.6
2019/10/30,145,149,143.5,148.5,+4.5,+3.12,3.82,"6,150","3,667",1.7,9,"+1,707",-249,-114,"+1,344",83.7,-174,"3,460",+33,672,19.4
2019/10/31,147.5,147.5,140,145,-3.5,-2.36,5.05,"12,103","6,357",1.9,17.3,"+2,307","-1,809",-304,+194,83.9,+392,"3,852",+502,"1,174",30.5
2019/11/01,144,147.5,142.5,146.5,+1.5,+1.03,3.45,"3,560","2,173",1.6,5.2,"+1,010",+118,-92,"+1,036",84,-151,"3,701",+51,"1,225",33.1
2019/11/04,147,148,144,146,-0.5,-0.34,2.73,"3,350","2,522",1.3,4.9,-46,+79,+79,+112,84,+192,"3,893",-23,"1,202",30.9
2019/11/05,146.5,148.5,145.5,147.5,+1.5,+1.03,2.05,"4,024","2,535",1.6,5.9,+555,+8,+99,+662,84.1,-3,"3,890",+3,"1,205",31
2019/11/06,150,153,144,145,-2.5,-1.69,6.1,"10,176","6,067",1.7,15.1,-664,-51,-187,-902,84,+545,"4,435",-2,"1,203",27.1
2019/11/07,145.5,148.5,143.5,148,+3,+2.07,3.45,"4,266","2,809",1.5,6.2,"+1,060",-4,-77,+979,84.1,-220,"4,215",+118,"1,321",31.3
2019/11/08,147,148,144.5,147.5,-0.5,-0.34,2.36,"4,861","2,771",1.8,7.1,-523,-201,+35,-689,84.1,+217,"4,432",-250,"1,071",24.2
2019/11/11,149,149,144,144,-3.5,-2.37,3.39,"5,279","2,847",1.9,7.7,"-1,111",+61,+535,-515,84,+5,"4,437",-242,829,18.7
2019/11/12,146,155.5,145,153,+9,+6.25,7.29,"12,692","8,002",1.6,19.2,"+1,849",+76,+361,"+2,286",84.2,-249,"4,188",+152,981,23.4
2019/11/13,146,146,138,139,-14,-9.15,5.23,"20,170","12,286",1.6,28.7,"-5,760",-168,-755,"-6,683",83.6,+885,"5,073",-100,881,17.4
2019/11/14,138,141,133.5,139.5,+0.5,+0.36,5.4,"16,641","10,112",1.6,22.9,+128,+58,"+1,253","+1,439",83.6,-244,"4,829",-91,790,16.4
2019/11/15,141,141,137,138,-1.5,-1.08,2.87,"5,843","3,514",1.7,8.1,"-1,629",+29,+444,"-1,156",83.4,+225,"5,054",+7,797,15.8
2019/11/18,139.5,141,138,141,+3,+2.17,2.17,"2,755","1,829",1.5,3.9,+988,+135,-195,+928,83.5,-303,"4,751",+28,825,17.4
2019/11/19,139.5,141.5,139,140,-1,-0.71,1.77,"2,652","1,618",1.6,3.7,+300,-227,-87,-14,83.5,-4,"4,747",+47,872,18.4
2019/11/20,140,142.5,135.5,139.5,-0.5,-0.36,5,"6,278","4,090",1.5,8.7,+976,+26,-514,+488,83.6,-393,"4,354",+81,953,21.9
2019/11/21,138.5,139.5,134.5,139,-0.5,-0.36,3.58,"5,172","3,033",1.7,7.1,+590,-4,-90,+496,83.7,-602,"3,752",-28,925,24.7
2019/11/22,139,140,136,136.5,-2.5,-1.8,2.88,"3,680","2,215",1.7,5.1,"-1,181",+2,+119,"-1,060",83.6,+74,"3,826",-114,811,21.2
2019/11/25,138,138.5,136.5,137,+0.5,+0.37,1.47,"2,075","1,365",1.5,2.9,+588,-373,-49,+166,83.6,-64,"3,762",-19,792,21.1
2019/11/26,138,139.5,136.5,136.5,-0.5,-0.36,2.19,"4,796","1,954",2.5,6.6,+19,-475,+248,-208,83.6,-28,"3,734",-19,773,20.7
2019/11/27,137,139,136.5,138.5,+2,+1.47,1.83,"1,707","1,204",1.4,2.4,+276,-51,+103,+328,83.8,-21,"3,713",-25,748,20.1
2019/11/28,138.5,138.5,136.5,137,-1.5,-1.08,1.44,"1,249",968,1.3,1.7,-185,-43,+4,-224,83.7,+35,"3,748",-18,730,19.5
2019/11/29,138,138,131,134.5,-2.5,-1.82,5.11,"4,792","2,618",1.8,6.4,-118,-722,+67,-773,83.7,-17,"3,731",-54,676,18.1
2019/12/02,133.5,136,129.5,134.5,0,0,4.83,"4,202","2,314",1.8,5.6,+498,-184,+2,+316,83.8,-47,"3,684",+68,744,20.2
2019/12/03,133.5,135.5,132,133,-1.5,-1.12,2.6,"3,121","1,996",1.6,4.2,+788,-129,+31,+690,83.9,-57,"3,627",-17,727,20
2019/12/04,132.5,139,132,135,+2,+1.5,5.26,"5,078","3,257",1.6,6.9,"-1,061",+189,+365,-507,83.7,+69,"3,696",-14,713,19.3
2019/12/05,135.5,136,133,133,-2,-1.48,2.22,"4,007","2,264",1.8,5.4,"-1,820",-73,+229,"-1,664",83.5,+322,"4,018",-52,661,16.5
2019/12/06,134,135.5,133,134,+1,+0.75,1.88,"2,284","1,252",1.8,3.1,-59,0,-19,-78,83.5,-147,"3,871",+365,"1,026",26.5
2019/12/09,134.5,139,133.5,136.5,+2.5,+1.87,4.1,"5,037","3,248",1.6,6.9,-674,+73,+404,-197,83.4,-337,"3,534",-359,667,18.9
2019/12/10,136,139,134,138.5,+2,+1.47,3.66,"2,901","2,010",1.4,4,-741,+279,+31,-431,83.4,-151,"3,383",+15,682,20.2
2019/12/11,138,141,136,136.5,-2,-1.44,3.61,"4,981","2,856",1.7,6.9,"-1,577",+297,+166,"-1,114",83.2,+24,"3,407",-30,652,19.1
2019/12/12,138,139,137,139,+2.5,+1.83,1.47,"3,766","2,891",1.3,5.2,+399,-386,-85,-72,83.2,-265,"3,142",+12,664,21.1
2019/12/13,141,141.5,135.5,136,-3,-2.16,4.32,"4,612","2,793",1.7,6.3,"-1,212",+369,-103,-946,83.1,+23,"3,165",-31,633,20
2019/12/16,136,137,135.5,136.5,+0.5,+0.37,1.1,"2,688","1,464",1.8,3.7,-416,-125,+98,-443,83,+66,"3,231",0,633,19.6
2019/12/17,137.5,141,137,141,+4.5,+3.3,2.93,"4,008","2,709",1.5,5.6,"+1,141",+462,+39,"+1,641",83.2,-127,"3,104",+39,672,21.6
2019/12/18,141,145.5,140,141.5,+0.5,+0.35,3.9,"7,697","4,982",1.5,11,"-1,174",+450,-100,-824,83,+224,"3,328",+23,695,20.9
2019/12/19,141,142,137,137,-4.5,-3.18,3.53,"5,965","4,061",1.5,8.2,"-1,510","-1,092",+107,"-2,495",82.8,+159,"3,487",-53,642,18.4
2019/12/20,137.5,140,135.5,139.5,+2.5,+1.82,3.28,"3,719","2,000",1.9,5.2,"+1,094",-112,+96,"+1,078",83,-295,"3,192",+39,681,21.3
2019/12/23,138.5,139.5,138,138.5,-1,-0.72,1.08,914,697,1.3,1.3,-124,-26,-31,-181,83,+53,"3,245",-42,639,19.7
2019/12/24,138.5,140,138,139,+0.5,+0.36,1.44,947,726,1.3,1.3,+11,+296,-17,+290,83,-44,"3,201",-11,628,19.6
2019/12/25,140.5,141.5,139.5,140.5,+1.5,+1.08,1.44,"1,137",828,1.4,1.6,+66,+184,+36,+286,83,-31,"3,170",+25,653,20.6
2019/12/26,142,142,140,141,+0.5,+0.36,1.42,833,559,1.5,1.2,+75,-42,0,+33,83,+37,"3,207",+9,662,20.6
2019/12/27,141.5,142.5,141,142,+1,+0.71,1.06,"1,468","1,116",1.3,2.1,-23,+436,+11,+424,83,-120,"3,087",+14,676,21.9
2019/12/30,143,145,142,142,0,0,2.11,"1,991","1,403",1.4,2.9,+35,0,+17,+52,83,+5,"3,092",0,676,21.9
2019/12/31,143,144,141.5,143,+1,+0.7,1.76,"2,112","1,342",1.6,3,-183,+348,-55,+110,83,-71,"3,021",+8,684,22.6
2020/01/02,144.5,149.5,144,146.5,+3.5,+2.45,3.85,"4,934","3,290",1.5,7.3,-622,+181,+685,+244,82.9,+154,"3,175",+26,710,22.4
2020/01/03,147,150,144,147,+0.5,+0.34,4.1,"5,059","3,375",1.5,7.5,+470,+464,-203,+731,83,-153,"3,022",+23,733,24.3
2020/01/06,146,146,141,142,-5,-3.4,3.4,"2,413","1,692",1.4,3.5,-764,+105,-77,-736,82.9,+9,"3,031",-80,653,21.5
2020/01/07,140.5,142.5,129,131.5,-10.5,-7.39,9.51,"10,900","7,501",1.5,14.5,-827,"-2,203",-319,"-3,349",82.8,+470,"3,501",-163,490,14
2020/01/08,128.5,132,126.5,130,-1.5,-1.14,4.18,"5,984","3,447",1.7,7.7,-195,+266,-200,-129,82.8,+32,"3,533",+46,536,15.2
2020/01/09,131.5,137,131.5,136,+6,+4.62,4.23,"4,752","3,264",1.5,6.4,-244,+270,-73,-47,82.7,-460,"3,073",+78,614,20
2020/01/10,136,137,133,135,-1,-0.74,2.94,"3,628","2,551",1.4,4.9,+166,-477,-87,-398,82.8,+13,"3,086",-9,605,19.6
2020/01/13,136,138.5,135,138,+3,+2.22,2.59,"1,597","1,137",1.4,2.2,+241,0,+150,+391,82.8,+67,"3,153",-10,595,18.9
2020/01/14,138,138.5,135.5,136,-2,-1.45,2.17,"2,008","1,524",1.3,2.7,-575,0,-222,-797,82.7,+115,"3,268",+8,603,18.5
2020/01/15,136,138,135,136,0,0,2.21,"2,722","1,868",1.5,3.7,-239,0,-367,-606,82.7,-82,"3,186",+38,641,20.1
2020/01/16,135.5,137.5,135,137,+1,+0.74,1.84,"1,092",799,1.4,1.5,+62,+2,-37,+27,82.7,-10,"3,176",+17,658,20.7
2020/01/17,137.5,138.5,136,136.5,-0.5,-0.36,1.82,"1,222",904,1.4,1.7,+283,-66,-46,+171,82.7,-219,"2,957",+2,660,22.3
2020/01/20,136.5,137,134,134.5,-2,-1.47,2.2,"2,177","1,528",1.4,2.9,-68,-619,-51,-738,82.7,+36,"2,993",-31,629,21
2020/01/30,125,126,121.5,121.5,-13,-9.67,3.35,"6,224","3,377",1.8,7.6,+151,-661,-45,-555,82.7,+55,"3,047",+202,831,27.3
2020/01/31,119,122,115,119.5,-2,-1.65,5.76,"9,404","5,105",1.8,11.2,-942,"-1,169",-319,"-2,430",82.6,-199,"2,848",-56,775,27.2
2020/02/03,114.5,122,111.5,120.5,+1,+0.84,8.79,"5,761","3,420",1.7,6.8,+461,-184,-74,+203,82.7,-187,"2,661",+67,842,31.6
2020/02/04,119.5,125,119.5,124.5,+4,+3.32,4.56,"4,314","2,768",1.6,5.3,-874,+333,+163,-378,82.6,0,"2,661",+31,873,32.8
2020/02/05,123.5,123.5,120,120.5,-4,-3.21,2.81,"3,420","2,248",1.5,4.2,"-1,998",+42,-21,"-1,977",82.4,+121,"2,782",-10,863,31
2020/02/06,121.5,124,121,122.5,+2,+1.66,2.49,"2,804","1,836",1.5,3.4,-176,-131,+177,-130,82.3,+143,"2,925",-6,857,29.3
2020/02/07,122.5,122.5,119,121,-1.5,-1.22,2.86,"4,643","2,284",2,5.6,-585,-255,-116,-956,82.3,+44,"2,969",-343,514,17.3
2020/02/10,118,122.5,113,122,+1,+0.83,7.85,"5,418","3,207",1.7,6.5,"-1,111",+275,+96,-740,82.2,+21,"2,990",+81,595,19.9
2020/02/11,122,125,121,124.5,+2.5,+2.05,3.28,"3,165","2,002",1.6,3.9,-149,-11,+50,-110,82.1,-77,"2,913",+23,618,21.2
