Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2020/11/10,1355,1405,1325,1365,-15,-1.09,5.8,239,275,0.87,3.3,-32,+30,-5,-7,62.9,-2,155,-3,30,19.4
2020/11/11,1365,1390,1335,1335,-30,-2.2,4.03,156,181,0.86,2.1,+6,0,0,+6,62.8,+1,156,-1,29,18.6
2020/11/12,1350,1365,1325,1365,+30,+2.25,3,228,196,1.2,3.1,+42,-2,-1,+39,63,-2,154,0,29,18.8
2020/11/13,1340,1350,1310,1315,-50,-3.66,2.93,108,133,0.81,1.4,-43,0,-1,-44,62.8,+15,169,-4,25,14.8
2020/11/16,1345,1345,1315,1320,+5,+0.38,2.28,141,169,0.83,1.9,-2,0,-1,-3,62.8,+6,175,+1,26,14.9
2020/11/17,1325,1350,1305,1305,-15,-1.14,3.41,151,176,0.86,2,+9,-10,0,-1,62.8,+2,177,-1,25,14.1
2020/11/18,1310,1390,1310,1380,+75,+5.75,6.13,256,325,0.79,3.5,+78,-2,+7,+83,63.1,-23,154,0,25,16.2
2020/11/19,1370,1370,1330,1340,-40,-2.9,2.9,144,186,0.77,1.9,-58,-3,-6,-67,62.9,+13,167,0,25,15
2020/11/20,1340,1350,1325,1335,-5,-0.37,1.87,111,134,0.83,1.5,-4,+4,0,0,62.9,+2,169,0,25,14.8
2020/11/23,1350,1385,1340,1340,+5,+0.37,3.37,161,182,0.88,2.2,+44,-5,+1,+40,63,-6,163,0,25,15.3
2020/11/24,1350,1375,1340,1350,+10,+0.75,2.61,89,112,0.79,1.2,-18,-1,-2,-21,63,+5,168,0,25,14.9
2020/11/25,1370,1375,1330,1345,-5,-0.37,3.33,155,176,0.88,2.1,-28,-1,0,-29,62.8,+7,175,0,25,14.3
2020/11/26,1365,1385,1345,1385,+40,+2.97,2.97,224,229,0.98,3.1,+109,0,+2,+111,63.2,-16,159,0,25,15.7
2020/11/27,1370,1450,1360,1420,+35,+2.53,6.5,265,357,0.74,3.8,+65,0,+5,+70,63.4,-1,158,-1,24,15.2
2020/11/30,1440,1480,1410,1410,-10,-0.7,4.93,741,343,2.2,10.6,+49,+23,0,+72,63.5,-31,127,0,24,18.9
2020/12/01,1435,1435,1385,1385,-25,-1.77,3.55,112,151,0.74,1.6,+1,-15,-5,-19,63.5,+5,132,-1,23,17.4
2020/12/02,1410,1420,1375,1380,-5,-0.36,3.25,603,110,5.5,8.4,+3,-14,-1,-12,63.5,+6,138,0,23,16.7
2020/12/03,1390,1410,1375,1400,+20,+1.45,2.54,189,200,0.94,2.6,+36,-40,-2,-6,63.6,-3,135,0,23,17
2020/12/04,1400,1430,1385,1430,+30,+2.14,3.21,94,150,0.63,1.3,+45,-6,+3,+42,63.8,-13,122,0,23,18.9
2020/12/07,1430,1570,1430,1570,+140,+9.79,9.79,769,892,0.86,11.7,+208,+49,+11,+268,64.3,-19,101,+4,27,26.7
2020/12/08,1555,1560,1490,1560,-10,-0.64,4.46,477,536,0.89,7.3,-13,0,-6,-19,64.3,-11,90,-2,25,27.8
2020/12/09,1585,1665,1560,1610,+50,+3.21,6.73,408,521,0.78,6.6,-38,+52,+7,+21,64.2,+1,91,-6,19,20.9
2020/12/10,1565,1585,1550,1565,-45,-2.8,2.17,218,219,1,3.4,-52,+1,-4,-55,64,+26,117,0,19,16.2
2020/12/11,1605,1625,1550,1590,+25,+1.6,4.79,226,239,0.95,3.6,+1,-1,-8,-8,64,-14,103,0,19,18.4
2020/12/14,1575,1610,1575,1585,-5,-0.31,2.2,76,98,0.78,1.2,0,+8,+1,+9,64,-1,102,0,19,18.6
2020/12/15,1610,1675,1585,1620,+35,+2.21,5.68,277,339,0.82,4.5,+25,+21,+5,+51,64.1,-18,84,0,19,22.6
2020/12/16,1625,1775,1610,1710,+90,+5.56,10.2,454,529,0.86,7.7,+69,-11,+4,+62,64.3,-15,69,0,19,27.5
2020/12/17,1745,1860,1680,1740,+30,+1.75,10.5,675,788,0.86,11.9,+65,0,0,+66,64.5,+11,80,-2,17,21.2
2020/12/18,1780,1790,1685,1690,-50,-2.87,6.03,332,390,0.85,5.7,-37,0,-5,-42,64.5,+7,87,0,17,19.5
2020/12/21,1695,1700,1620,1690,0,0,4.73,191,229,0.83,3.2,-10,-3,-2,-15,64.4,+9,96,0,17,17.7
2020/12/22,1690,1690,1620,1620,-70,-4.14,4.14,141,195,0.72,2.3,-22,-2,0,-24,64.4,-10,86,0,17,19.8
2020/12/23,1645,1690,1630,1690,+70,+4.32,3.7,174,212,0.82,2.9,+46,0,-1,+45,64.5,-7,79,0,17,21.5
2020/12/24,1685,1720,1660,1710,+20,+1.18,3.55,117,144,0.81,2,-19,+8,0,-11,64.5,+2,81,0,17,21
2020/12/25,1730,1730,1685,1685,-25,-1.46,2.63,67,99,0.68,1.1,-12,+10,+3,+1,64.4,-2,79,0,17,21.5
2020/12/28,1695,1695,1645,1685,0,0,2.97,47,68,0.69,0.79,-6,-1,-1,-8,64.4,-1,78,0,17,21.8
2020/12/29,1680,1695,1660,1690,+5,+0.3,2.08,53,67,0.79,0.89,-6,-5,+3,-8,64.4,+1,79,0,17,21.5
2020/12/30,1680,1710,1675,1690,0,0,2.07,88,106,0.83,1.5,+12,-25,-1,-14,64.4,+3,82,0,17,20.7
2020/12/31,1690,1725,1685,1715,+25,+1.48,2.37,124,140,0.89,2.1,+29,-18,+1,+12,64.6,-2,80,0,17,21.2
2021/01/04,1725,1725,1695,1720,+5,+0.29,1.75,78,99,0.79,1.3,+10,-1,+1,+10,64.6,+5,85,0,17,20
2021/01/05,1720,1845,1720,1800,+80,+4.65,7.27,341,383,0.89,6.1,+77,-10,+6,+74,64.8,-6,79,0,17,21.5
