Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2019/09/10,192.5,194.5,190,190,-3,-1.55,2.33,328,254,1.3,0.63,0,0,+2,+2,1.4
2019/09/11,191,206.5,190.5,203,+13,+6.84,8.42,"2,066","1,787",1.2,4.1,+38,+25,+9,+72,1.6
2019/09/12,203.5,205,183,188,-15,-7.39,10.8,"1,752","1,436",1.2,3.3,-76,+14,+2,-60,1.3
2019/09/16,181,182.5,169.5,169.5,-18.5,-9.84,6.91,"1,564","1,262",1.2,2.7,-42,-40,-19,-101,1.2
2019/09/17,165,177.5,161.5,172,+2.5,+1.47,9.44,"1,069",917,1.2,1.8,+30,-15,-16,-1,1.3
2019/09/18,169,173,166.5,169.5,-2.5,-1.45,3.78,488,459,1.1,0.83,+6,0,0,+6,1.3
2019/09/19,171,175,170,173.5,+4,+2.36,2.95,546,491,1.1,0.95,-2,0,0,-2,1.3
2019/09/20,173.5,190.5,169.5,190.5,+17,+9.8,12.1,"1,718","1,348",1.3,3.1,-3,+295,+5,+297,1.3
2019/09/23,196,209.5,192.5,209.5,+19,+9.97,8.92,"2,004","1,620",1.2,4,+6,+261,-5,+262,1.3
2019/09/24,209.5,222,205,212.5,+3,+1.43,8.11,"1,549","1,404",1.1,3.3,-1,+160,0,+159,1.3
2019/09/25,207.5,212.5,205,210,-2.5,-1.18,3.53,610,570,1.1,1.3,+14,+31,0,+45,1.3
2019/09/26,214,219,208,210,0,0,5.24,721,663,1.1,1.5,-21,0,0,-21,1.3
2019/09/27,209,210,190,202,-8,-3.81,9.52,"1,171","1,013",1.2,2.3,+119,+153,0,+272,1.7
2019/10/01,202,211,200,202.5,+0.5,+0.25,5.45,788,700,1.1,1.6,-32,-9,0,-41,1.6
2019/10/02,201.5,203.5,196,198,-4.5,-2.22,3.7,465,426,1.1,0.93,+17,0,0,+17,1.6
2019/10/03,193,205,193,203.5,+5.5,+2.78,6.06,585,534,1.1,1.2,+4,-25,0,-21,1.7
2019/10/04,208.5,216.5,200.5,202,-1.5,-0.74,7.86,"1,276","1,172",1.1,2.7,-108,0,0,-108,1.3
2019/10/07,203.5,207.5,200.5,200.5,-1.5,-0.74,3.47,723,622,1.2,1.5,+4,-2,0,+2,1.3
2019/10/08,201.5,204.5,194.5,195.5,-5,-2.49,4.99,650,552,1.2,1.3,+9,-32,0,-23,1.3
2019/10/09,197.5,200,195.5,198.5,+3,+1.53,2.3,457,421,1.1,0.9,-4,0,+15,+11,1.3
2019/10/14,202.5,202.5,197,197,-1.5,-0.76,2.77,334,303,1.1,0.67,-4,0,-9,-13,1.3
2019/10/15,197.5,212,197.5,200,+3,+1.52,7.36,"1,703","1,494",1.1,3.5,-73,-51,+24,-100,1.1
2019/10/16,200,204,193.5,195.5,-4.5,-2.25,5.25,659,602,1.1,1.3,-19,0,0,-19,1.1
2019/10/17,198.5,201.5,196,198.5,+3,+1.53,2.81,406,366,1.1,0.81,-3,0,-5,-8,1.4
2019/10/18,201.5,208.5,201,206,+7.5,+3.78,3.78,"1,598","1,372",1.2,3.3,-23,+59,+17,+53,1.3
2019/10/21,218,222,209,210,+4,+1.94,6.31,"2,598","2,346",1.1,5.6,-80,+5,-39,-114,1
2019/10/22,213.5,215.5,207.5,208,-2,-0.95,3.81,768,703,1.1,1.6,-1,0,+11,+10,1.1
2019/10/23,210,225.5,209.5,218,+10,+4.81,7.69,"2,844","2,340",1.2,6.2,+5,+486,+4,+495,1.2
